bench,wl_lb,utilization,v7_proxy,v7_wl,v7_d,v7_c,proxy_lb,gap_pct,wl_gap_pct
ibm01,0.016127799890763222,0.8002390615647483,0.7653,0.099,0.453,0.86,0.016127799890763222,4645.222567142006,513.8469020607063
ibm02,0.012102435141549196,0.8002308187478854,0.9482,0.077,0.589,1.154,0.012102435141549196,7734.786874789431,536.2355930803482
ibm03,0.016038821563621426,0.8001229906393131,0.9166,0.092,0.504,1.145,0.016038821563621426,5614.883704916284,473.6082269826513
ibm04,0.012837719726980638,0.8002292028366942,0.9287,0.078,0.526,1.176,0.012837719726980638,7134.1507662624845,507.58453727627193
ibm06,0.0069874658391198925,0.8000479594145516,1.0546,0.076,0.528,1.429,0.0069874658391198925,14992.739260287139,987.6618469389554
ibm07,0.007862248564646051,0.800079012870541,1.0324,0.08,0.534,1.371,0.007862248564646051,13031.103545140555,917.5206156637392
ibm08,0.012774309154817766,0.7999933593601316,1.0291,0.079,0.55,1.35,0.012774309154817766,7956.012951681853,518.4287466552001
ibm09,0.008820877986901773,0.7999805250768971,0.7628,0.099,0.453,0.835,0.008820877986901773,8547.665245258928,1022.3372565294098
ibm10,0.010984267489903986,0.800098272089091,0.9492,0.063,0.514,1.258,0.010984267489903986,8541.450154709379,473.54757664000306
ibm11,0.008590492703662418,0.8000085040014021,0.8013,0.063,0.508,0.968,0.008590492703662418,9227.753688195075,633.3688785177708
ibm12,0.01168862687504324,0.800085860489922,1.1557,0.077,0.558,1.601,0.01168862687504324,9787.388932463673,558.760013671111
ibm13,0.008638925418977175,0.8001787230578682,0.8757,0.064,0.527,1.096,0.008638925418977175,10036.677393652979,640.8328802030267
ibm14,0.004573728515026658,0.800075682913882,1.107,0.06,0.571,1.524,0.004573728515026658,24103.447938875925,1211.8399966870418
ibm15,0.0050100862497398525,0.8000394183367008,1.0835,0.072,0.573,1.45,0.0050100862497398525,21526.37419777475,1337.10100806625
ibm16,0.005318249748472039,0.8000803117167381,1.0435,0.058,0.549,1.422,0.005318249748472039,19521.116896584314,990.5843603276379
ibm17,0.0037537304942677056,0.8000782283437095,1.2813,0.072,0.604,1.626,0.0037537304942677056,34034.04350569824,1818.0918851246956
ibm18,0.0021516778493741767,0.8000541337027367,1.2697,0.065,0.679,1.731,0.0021516778493741767,58909.76302606345,2920.8983198347046
